9,handspeak,fork,Fork,confident,"Tue Dec 05 2017 12:03:53 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:05:10 GMT-0500 (Eastern Standard Time)",,,
9,handspeak,coat,Jacket,confident,"Tue Dec 05 2017 12:05:25 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:08:59 GMT-0500 (Eastern Standard Time)",,,
9,handspeak,grow,"Not Found",,"Tue Dec 05 2017 12:09:13 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:11:10 GMT-0500 (Eastern Standard Time)",,,
9,handspeak,argue,Correspond,"somewhat unsure","Tue Dec 05 2017 12:11:26 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:12:34 GMT-0500 (Eastern Standard Time)",,,
9,handspeak,sheep,Lamb,"somewhat unsure","Tue Dec 05 2017 12:12:53 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:13:36 GMT-0500 (Eastern Standard Time)",,,
9,handspeak,,,,,,"somewhat difficult","somewhat easy",,
9,asl2english,emphasize,"Not found",,"Tue Dec 05 2017 12:14:05 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:15:47 GMT-0500 (Eastern Standard Time)",,,
9,asl2english,for,"Not found",,"Tue Dec 05 2017 12:15:58 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:17:07 GMT-0500 (Eastern Standard Time)",,,
9,asl2english,urge,Behind,unsure,"Tue Dec 05 2017 12:17:17 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:18:31 GMT-0500 (Eastern Standard Time)",,,
9,asl2english,addicted,Addicted,"somewhat unsure","Tue Dec 05 2017 12:18:44 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:19:53 GMT-0500 (Eastern Standard Time)",,,
9,asl2english,hurry,Hurry,"somewhat unsure","Tue Dec 05 2017 12:20:05 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:21:03 GMT-0500 (Eastern Standard Time)",,,
9,asl2english,,,,,,difficult,difficult,,
