User,Application,"Sign Testing","Sign Inputed",Confidence,"Start Time","End Time","Use Difficulty","Sign Search Difficulty","Liked About Application","Change About Application"
3,asl2english,hurry,belt,"somewhat unsure","Tue Nov 28 2017 12:19:19 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:20:41 GMT-0500 (Eastern Standard Time)",,,
3,asl2english,,,,,,"somewhat difficult",somewhat_easy,"The sign being shown more than once. Yes very useful.","The location area is very unclear."
3,handspeak,fork,"no idea","somewhat unsure","Tue Nov 28 2017 12:23:50 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:26:58 GMT-0500 (Eastern Standard Time)",,,
3,handspeak,coat,science,"somewhat confident","Tue Nov 28 2017 12:27:13 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:28:23 GMT-0500 (Eastern Standard Time)",,,
3,handspeak,grow,spring,"somewhat confident","Tue Nov 28 2017 12:28:41 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:29:17 GMT-0500 (Eastern Standard Time)",,,
3,handspeak,argue,"no idea",unsure,"Tue Nov 28 2017 12:29:37 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:30:45 GMT-0500 (Eastern Standard Time)",,,
3,handspeak,sheep,scissors,"somewhat confident","Tue Nov 28 2017 12:31:02 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:31:33 GMT-0500 (Eastern Standard Time)",,,
3,handspeak,,,,,,"somewhat easy",somewhat_difficult,"The charts to help. Very helpful for ASL.","Not clear which hand the location is in."
User,Application,"Sign Testing","Sign Inputed",Confidence,"Start Time","End Time","Use Difficulty","Sign Search Difficulty","Liked About Application","Change About Application"
4,handspeak,emphasize,"No Idea",confident,"Tue Nov 28 2017 12:06:40 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:12:31 GMT-0500 (Eastern Standard Time)",,,
4,handspeak,for,for,"somewhat confident","Tue Nov 28 2017 12:13:05 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:14:13 GMT-0500 (Eastern Standard Time)",,,
4,handspeak,urge,Insist,"somewhat confident","Tue Nov 28 2017 12:14:29 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:17:08 GMT-0500 (Eastern Standard Time)",,,
4,handspeak,addicted,"hooked on","somewhat unsure","Tue Nov 28 2017 12:17:29 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:19:05 GMT-0500 (Eastern Standard Time)",,,
4,handspeak,hurry,rush,"somewhat confident","Tue Nov 28 2017 12:19:24 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:20:57 GMT-0500 (Eastern Standard Time)",,,
4,handspeak,,,,,,"somewhat difficult",somewhat_easy,"I liked getting to see the sign multiple times and having the opportunity to match signs at the end","Without an instructor"," it is a little difficult to understand. For instance"," I didn't know what convergent meant which makes it a little complicated if you don't know the word."
4,asl2english,fork,fork,confident,"Tue Nov 28 2017 12:23:50 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:26:28 GMT-0500 (Eastern Standard Time)",,,
4,asl2english,coat,effort,unsure,"Tue Nov 28 2017 12:26:54 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:31:23 GMT-0500 (Eastern Standard Time)",,,
4,asl2english,grow,"turn page",unsure,"Tue Nov 28 2017 12:31:49 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:39:31 GMT-0500 (Eastern Standard Time)",,,
4,asl2english,argue,argue,"somewhat unsure","Tue Nov 28 2017 12:39:53 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:42:01 GMT-0500 (Eastern Standard Time)",,,
4,asl2english,sheep,"of course",unsure,"Tue Nov 28 2017 12:42:17 GMT-0500 (Eastern Standard Time)","Tue Nov 28 2017 12:43:36 GMT-0500 (Eastern Standard Time)",,,
4,asl2english,,,,,,"somewhat difficult",somewhat_difficult,"I liked that it repeated the signs multiple times for you to find the matching word","The videos/picture quality of the signer & matching where the sign on the body is was very confusin"
